Parameter,Value,Unit
2.8,18.072,2.284
2.825,18.009,2.303
2.85,18.078,2.326
2.875,17.981,2.344
2.9,18.084,2.367
2.925,17.984,2.386
2.95,18.065,2.409
2.975,17.988,2.428
3,18.057,2.45
3.025,17.968,2.469
3.05,18.052,2.492
3.075,17.938,2.511
3.1,18.03,2.534
3.125,17.899,2.553
3.15,17.975,2.575
3.175,17.872,2.594
3.2,17.949,2.618
3.225,17.821,2.637
3.25,17.896,2.659
3.275,17.775,2.678
3.299,17.826,2.701
3.324,17.726,2.72
3.349,17.826,2.743
3.374,17.676,2.762
3.399,17.72,2.784
3.424,17.641,2.804
3.449,17.697,2.825
3.474,17.605,2.845
3.499,17.645,2.867
3.524,17.542,2.887
3.549,17.561,2.908
3.574,17.481,2.929
3.599,17.518,2.95
3.624,17.405,2.97
3.649,17.449,2.992
3.674,17.368,3.012
3.699,17.406,3.034
3.724,17.301,3.053
3.749,17.35,3.075
3.774,17.279,3.096
3.799,17.274,3.117
3.824,17.205,3.136
3.849,17.257,3.159
3.874,17.153,3.178
3.899,17.193,3.201
3.924,17.08,3.22
3.949,17.118,3.242
3.974,17.029,3.262
3.999,17.09,3.284
4.024,16.955,3.304
4.049,17,3.326
4.074,16.905,3.345
4.099,16.948,3.367
4.124,16.846,3.387
4.149,16.869,3.409
4.174,16.754,3.428
4.199,16.817,3.451
4.224,16.695,3.469
4.249,16.731,3.493
4.274,16.604,3.512
4.299,16.651,3.534
4.324,16.538,3.553
4.349,16.601,3.577
4.374,16.451,3.595
4.399,16.511,3.617
4.424,16.381,3.637
4.449,16.439,3.659
4.474,16.331,3.679
4.499,16.356,3.701
4.524,16.233,3.72
4.549,16.288,3.743
4.574,16.156,3.762
4.599,16.196,3.784
4.624,16.089,3.804
4.649,16.12,3.826
4.674,15.997,3.845
4.699,16.027,3.868
4.724,15.92,3.887
4.749,15.947,3.91
4.774,15.816,3.928
4.799,15.847,3.952
4.824,15.705,3.969
4.849,15.752,3.994
4.874,15.601,4.011
4.899,15.675,4.035
4.924,15.509,4.053
4.949,15.544,4.076
4.974,15.438,4.095
4.999,15.463,4.118
5.024,15.317,4.137
5.049,15.372,4.16
5.074,15.259,4.179
5.099,15.282,4.201
5.124,15.164,4.221
5.149,15.162,4.243
5.174,15.03,4.262
5.199,15.073,4.285
5.224,14.947,4.303
5.249,14.954,4.327
5.274,14.839,4.345
5.299,14.867,4.368
5.324,14.735,4.387
5.349,14.77,4.41
5.374,14.627,4.429
5.399,14.665,4.451
5.424,14.537,4.471
5.449,14.553,4.493
5.474,14.429,4.512
5.499,14.443,4.534
5.524,14.352,4.554
5.549,14.345,4.576
5.574,14.259,4.596
5.599,14.264,4.618
5.624,14.142,4.637
5.649,14.18,4.66
5.674,14.049,4.679
5.699,14.065,4.702
5.724,13.951,4.72
5.749,13.983,4.743
5.774,13.85,4.762
5.799,13.89,4.785
5.824,13.751,4.803
5.849,13.792,4.827
5.874,13.671,4.846
5.899,13.68,4.868
5.924,13.61,4.888
5.949,13.578,4.91
5.974,13.49,4.929
5.999,13.489,4.951
6.024,13.403,4.97
6.049,13.416,4.994
6.074,13.285,5.012
6.099,13.323,5.035
6.124,13.194,5.053
6.149,13.246,5.077
6.174,13.105,5.096
6.199,13.13,5.118
6.224,13.029,5.138
6.249,13.028,5.16
6.274,12.945,5.179
6.299,12.948,5.201
6.324,12.844,5.221
6.349,12.86,5.244
6.374,12.755,5.263
6.399,12.76,5.285
6.424,12.663,5.305
6.449,12.668,5.326
6.474,12.563,5.346
6.499,12.569,5.368
6.524,12.491,5.388
6.549,12.489,5.41
6.574,12.396,5.43
6.599,12.401,5.451
6.624,12.327,5.471
6.649,12.312,5.493
6.674,12.235,5.512
6.699,12.25,5.535
6.724,12.163,5.555
6.749,12.155,5.577
6.774,12.07,5.596
6.799,12.092,5.619
6.824,11.981,5.637
6.849,12.01,5.66
6.874,11.904,5.679
6.899,11.941,5.702
6.924,11.821,5.721
6.949,11.831,5.744
6.974,11.758,5.763
6.999,11.739,5.784
7.024,11.694,5.805
7.049,11.691,5.826
7.074,11.612,5.846
7.099,11.619,5.869
7.124,11.514,5.887
7.149,11.527,5.91
7.174,11.453,5.93
7.199,11.463,5.952
7.224,11.355,5.971
7.249,11.374,5.993
7.274,11.28,6.013
7.299,11.303,6.035
7.324,11.221,6.055
7.349,11.203,6.077
7.374,11.134,6.096
7.399,11.155,6.119
7.424,11.07,6.138
7.449,11.074,6.16
7.474,10.978,6.179
7.499,11.013,6.202
7.524,10.919,6.222
7.549,10.92,6.244
7.574,10.854,6.263
7.599,10.879,6.286
7.624,10.753,6.303
7.649,10.781,6.327
7.674,10.689,6.346
7.699,10.709,6.369
7.724,10.632,6.388
7.749,10.632,6.411
7.774,10.54,6.43
7.799,10.552,6.452
7.824,10.471,6.471
7.849,10.488,6.494
7.874,10.395,6.513
7.899,10.422,6.536
7.924,10.33,6.555
7.949,10.351,6.577
7.974,10.255,6.596
7.999,10.27,6.619
8.024,10.179,6.638
8.049,10.193,6.661
8.074,10.11,6.679
8.099,10.142,6.702
8.124,10.052,6.721
8.149,10.066,6.744
8.174,9.986,6.763
8.199,9.982,6.785
8.224,9.924,6.805
8.249,9.913,6.827
8.274,9.841,6.847
8.299,9.849,6.869
8.324,9.78,6.888
8.349,9.799,6.911
8.374,9.705,6.93
8.399,9.717,6.953
8.424,9.628,6.971
8.449,9.644,6.993
8.474,9.57,7.014
8.499,9.563,7.035
8.524,9.508,7.055
8.549,9.506,7.077
8.574,9.425,7.097
8.599,9.459,7.119
8.624,9.362,7.138
8.649,9.369,7.16
8.674,9.313,7.18
8.699,9.303,7.202
8.724,9.249,7.222
8.749,9.226,7.244
8.774,9.168,7.264
8.799,9.156,7.286
8.824,9.092,7.305
8.849,9.122,7.328
8.874,9.012,7.346
8.899,9.033,7.369
8.924,8.965,7.389
8.949,8.952,7.41
8.974,8.903,7.43
8.999,8.882,7.452
9.024,8.83,7.472
9.049,8.814,7.494
9.074,8.767,7.514
9.099,8.761,7.537
9.124,8.679,7.555
9.149,8.693,7.578
9.174,8.614,7.597
9.199,8.634,7.62
9.224,8.546,7.639
9.249,8.539,7.661
9.274,8.469,7.68
9.299,8.479,7.703
9.324,8.406,7.722
9.349,8.404,7.745
9.374,8.326,7.764
9.399,8.329,7.786
9.424,8.258,7.805
9.449,8.261,7.827
9.474,8.198,7.848
9.499,8.181,7.869
9.524,8.13,7.89
9.549,8.119,7.911
9.574,8.055,7.93
9.599,8.06,7.953
9.624,7.984,7.972
9.649,7.996,7.994
9.674,7.916,8.014
9.699,7.899,8.036
9.724,7.84,8.055
9.749,7.832,8.078
9.774,7.772,8.097
9.799,7.757,8.12
9.824,7.686,8.138
9.848,7.691,8.161
9.873,7.609,8.18
9.898,7.601,8.202
9.923,7.535,8.222
9.948,7.523,8.244
9.973,7.466,8.264
9.998,7.45,8.286
10.023,7.39,8.305
10.048,7.377,8.327
10.073,7.315,8.347
10.098,7.313,8.369
10.123,7.251,8.389
10.148,7.241,8.411
10.173,7.183,8.431
10.198,7.156,8.452
10.223,7.131,8.473
10.248,7.11,8.494
10.273,7.058,8.514
10.298,7.038,8.536
10.323,6.981,8.555
10.348,6.989,8.579
10.373,6.904,8.597
10.398,6.906,8.619
10.423,6.855,8.639
10.448,6.841,8.661
10.473,6.777,8.68
10.498,6.774,8.703
10.523,6.723,8.722
10.548,6.704,8.745
10.573,6.647,8.764
10.598,6.634,8.786
10.623,6.586,8.805
10.648,6.584,8.828
10.673,6.512,8.847
10.698,6.516,8.87
10.723,6.45,8.889
10.748,6.452,8.911
10.773,6.384,8.931
10.798,6.373,8.953
10.823,6.311,8.972
10.848,6.321,8.995
10.873,6.247,9.014
10.898,6.244,9.036
10.923,6.187,9.056
10.948,6.173,9.078
10.973,6.11,9.097
10.998,6.096,9.12
11.023,6.057,9.139
11.048,6.038,9.162
11.073,5.974,9.18
11.098,5.965,9.203
11.123,5.903,9.223
11.148,5.887,9.245
11.173,5.835,9.264
11.198,5.803,9.286
11.223,5.758,9.306
11.248,5.733,9.328
11.273,5.691,9.348
11.298,5.675,9.37
11.323,5.613,9.389
11.348,5.6,9.412
11.373,5.553,9.431
11.398,5.529,9.453
11.423,5.482,9.472
11.448,5.487,9.495
11.473,5.419,9.514
11.498,5.415,9.536
11.523,5.376,9.556
11.548,5.348,9.578
11.573,5.314,9.598
11.598,5.288,9.619
11.623,5.242,9.639
11.648,5.23,9.662
11.673,5.174,9.681
11.698,5.162,9.704
11.723,5.112,9.722
11.748,5.108,9.745
11.773,5.049,9.764
11.798,5.044,9.787
11.823,4.987,9.805
11.848,5.003,9.829
11.873,4.931,9.847
11.898,4.928,9.87
11.923,4.879,9.889
11.948,4.87,9.912
11.973,4.828,9.93
11.998,4.824,9.954
12.023,4.769,9.973
12.048,4.754,9.995
12.073,4.719,10.014
12.098,4.697,10.036
12.123,4.67,10.056
12.148,4.649,10.079
12.173,4.613,10.098
12.198,4.599,10.12
12.223,4.57,10.14
12.248,4.55,10.162
12.273,4.515,10.181
12.298,4.501,10.203
12.323,4.461,10.223
12.348,4.44,10.245
12.373,4.415,10.264
12.398,4.394,10.287
12.423,4.368,10.306
12.448,4.347,10.328
12.473,4.32,10.348
12.498,4.305,10.371
12.523,4.269,10.389
12.548,4.27,10.412
12.573,4.222,10.431
12.598,4.203,10.453
12.623,4.181,10.473
12.648,4.157,10.495
12.673,4.137,10.515
12.698,4.113,10.537
12.723,4.08,10.556
12.748,4.078,10.579
12.773,4.037,10.598
12.798,4.024,10.62
12.823,3.989,10.639
12.848,3.981,10.662
12.873,3.949,10.681
12.898,3.925,10.704
12.923,3.906,10.723
12.948,3.887,10.745
12.973,3.86,10.765
12.998,3.84,10.787
13.023,3.831,10.807
13.048,3.809,10.829
13.073,3.789,10.848
13.098,3.775,10.87
13.123,3.747,10.889
13.148,3.747,10.912
13.173,3.711,10.931
13.198,3.708,10.954
13.223,3.681,10.973
13.248,3.667,10.995
13.273,3.654,11.015
13.298,3.63,11.037
13.323,3.623,11.056
13.348,3.591,11.079
13.373,3.567,11.097
13.398,3.558,11.12
13.423,3.541,11.14
13.448,3.519,11.162
13.473,3.494,11.181
13.498,3.479,11.204
13.523,3.467,11.223
13.548,3.448,11.245
13.573,3.432,11.264
13.598,3.428,11.288
13.623,3.394,11.306
13.648,3.393,11.329
13.673,3.368,11.348
13.698,3.352,11.37
13.723,3.342,11.389
13.748,3.324,11.412
13.773,3.304,11.431
13.798,3.29,11.454
13.823,3.278,11.473
13.848,3.265,11.496
13.873,3.234,11.514
13.898,3.235,11.537
13.923,3.204,11.556
13.948,3.199,11.579
13.973,3.177,11.598
13.998,3.166,11.621
14.023,3.141,11.639
14.048,3.138,11.662
14.073,3.114,11.681
14.098,3.098,11.703
14.123,3.087,11.723
14.148,3.069,11.745
14.173,3.06,11.765
14.198,3.041,11.787
14.223,3.031,11.806
14.248,3.015,11.829
14.273,2.999,11.848
14.298,2.983,11.87
14.323,2.969,11.889
14.348,2.954,11.912
14.373,2.946,11.931
14.398,2.933,11.954
14.423,2.912,11.973
14.448,2.902,11.995
14.473,2.888,12.014
14.498,2.879,12.037
14.523,2.854,12.056
14.548,2.838,12.079
14.573,2.827,12.098
14.598,2.819,12.121
14.623,2.808,12.14
14.648,2.789,12.162
14.673,2.784,12.181
14.698,2.775,12.204
14.723,2.76,12.223
14.748,2.751,12.246
14.773,2.74,12.264
14.798,2.729,12.287
14.823,2.719,12.306
14.848,2.699,12.329
14.873,2.698,12.348
14.898,2.676,12.371
14.923,2.672,12.39
14.948,2.64,12.412
14.973,2.656,12.432
14.998,2.622,12.454
15.023,2.631,12.473
15.048,2.612,12.496
15.073,2.603,12.515
15.098,2.595,12.538
15.123,2.579,12.556
15.148,2.571,12.579
15.173,2.558,12.598
15.198,2.547,12.62
15.223,2.543,12.64
15.248,2.522,12.663
15.273,2.517,12.681
15.298,2.51,12.704
15.323,2.496,12.723
15.348,2.48,12.745
15.373,2.477,12.764
15.398,2.456,12.787
15.423,2.453,12.806
15.448,2.431,12.829
15.473,2.437,12.848
15.498,2.408,12.871
15.523,2.414,12.89
15.548,2.394,12.912
15.573,2.389,12.931
15.598,2.373,12.954
15.623,2.368,12.973
15.648,2.357,12.995
15.673,2.35,13.015
15.698,2.327,13.037
15.723,2.321,13.056
15.748,2.292,13.079
15.773,2.289,13.099
15.798,2.261,13.12
15.823,2.259,13.14
15.848,2.223,13.161
15.873,2.232,13.182
15.898,2.205,13.204
15.923,2.207,13.223
15.948,2.174,13.246
15.973,2.178,13.265
15.998,2.154,13.287
16.023,2.156,13.307
16.048,2.127,13.329
16.073,2.135,13.349
16.098,2.102,13.37
16.123,2.109,13.39
16.148,2.084,13.412
16.173,2.087,13.432
16.198,2.057,13.454
16.223,2.067,13.473
16.248,2.032,13.496
16.273,2.038,13.515
16.298,2.005,13.537
16.323,2.018,13.557
16.348,1.982,13.579
16.373,1.983,13.598
16.397,1.949,13.62
16.422,1.961,13.64
16.447,1.93,13.662
16.472,1.937,13.682
16.497,1.909,13.704
16.522,1.919,13.723
16.547,1.889,13.746
16.572,1.904,13.765
16.597,1.875,13.788
16.622,1.886,13.806
16.647,1.859,13.829
16.672,1.877,13.848
16.697,1.843,13.87
16.722,1.861,13.89
16.747,1.827,13.913
16.772,1.837,13.931
16.797,1.812,13.955
16.822,1.805,13.973
16.847,1.797,13.996
16.872,1.797,14.015
16.897,1.768,14.037
16.922,1.785,14.056
16.947,1.751,14.079
16.972,1.766,14.098
16.997,1.738,14.121
17.022,1.749,14.14
17.047,1.722,14.162
17.072,1.728,14.181
17.097,1.697,14.204
17.122,1.709,14.223
17.147,1.674,14.245
17.172,1.689,14.265
17.197,1.662,14.288
17.222,1.676,14.306
17.247,1.642,14.329
17.272,1.665,14.348
17.297,1.631,14.371
17.322,1.644,14.389
17.347,1.621,14.413
17.372,1.633,14.432
17.397,1.596,14.454
17.422,1.619,14.473
17.447,1.587,14.496
17.472,1.612,14.515
17.497,1.57,14.537
17.522,1.598,14.557
17.547,1.559,14.579
17.572,1.58,14.598
17.597,1.545,14.62
17.622,1.567,14.64
17.647,1.532,14.662
17.672,1.558,14.682
17.697,1.518,14.704
17.722,1.545,14.724
17.747,1.505,14.746
17.772,1.534,14.765
17.797,1.505,14.788
17.822,1.514,14.806
17.847,1.49,14.829
17.872,1.509,14.848
17.897,1.477,14.871
17.922,1.501,14.89
17.947,1.465,14.912
17.972,1.493,14.932
17.997,1.448,14.954
18.022,1.482,14.973
18.047,1.44,14.996
18.072,1.46,15.014
18.097,1.426,15.038
18.122,1.449,15.056
18.147,1.415,15.079
18.172,1.439,15.098
18.197,1.401,15.121
18.222,1.43,15.14
18.247,1.387,15.163
18.272,1.418,15.181
18.297,1.376,15.204
18.322,1.398,15.223
18.347,1.357,15.246
18.372,1.386,15.265
18.397,1.344,15.288
18.422,1.381,15.306
18.447,1.337,15.329
18.472,1.37,15.348
18.497,1.325,15.371
18.522,1.357,15.389
18.547,1.319,15.412
18.572,1.35,15.432
18.597,1.306,15.454
18.622,1.342,15.473
18.647,1.296,15.496
18.672,1.328,15.515
18.697,1.281,15.537
18.722,1.321,15.557
18.747,1.277,15.579
18.772,1.318,15.598
18.797,1.276,15.621
18.822,1.315,15.639
18.847,1.274,15.662
18.872,1.313,15.682
18.897,1.267,15.704
18.922,1.308,15.723
18.947,1.267,15.746
18.972,1.302,15.765
18.997,1.26,15.787
19.022,1.295,15.806
19.047,1.252,15.829
19.072,1.29,15.848
19.097,1.24,15.87
19.122,1.283,15.89
19.147,1.234,15.913
19.172,1.27,15.932
19.197,1.219,15.954
19.222,1.245,15.972
19.247,1.21,15.996
19.272,1.236,16.015
19.297,1.187,16.037
19.322,1.23,16.057
19.347,1.174,16.079
19.372,1.221,16.099
19.397,1.165,16.12
19.422,1.21,16.14
19.447,1.156,16.163
19.472,1.193,16.181
19.497,1.148,16.204
19.522,1.181,16.223
19.547,1.131,16.246
19.572,1.168,16.265
19.597,1.119,16.287
19.622,1.167,16.306
19.647,1.112,16.329
19.672,1.158,16.348
19.697,1.11,16.371
19.722,1.15,16.39
19.747,1.103,16.412
19.772,1.149,16.432
19.797,1.097,16.454
19.822,1.143,16.473
19.847,1.099,16.496
19.872,1.137,16.515
19.897,1.087,16.537
19.922,1.13,16.557
19.947,1.076,16.579
19.972,1.12,16.598
19.997,1.067,16.621
20.022,1.116,16.64
20.047,1.058,16.662
20.072,1.106,16.682
20.097,1.048,16.704
20.122,1.101,16.723
20.147,1.044,16.746
20.172,1.088,16.765
20.197,1.035,16.787
20.222,1.082,16.806
20.247,1.029,16.829
20.272,1.076,16.848
20.297,1.018,16.87
20.322,1.071,16.89
20.347,1.011,16.912
20.372,1.063,16.931
20.397,1.004,16.954
20.422,1.052,16.973
20.447,1,16.996
20.472,1.049,17.015
20.497,0.991,17.037
20.522,1.043,17.057
20.547,0.982,17.078
20.572,1.037,17.098
20.597,0.971,17.121
20.622,1.027,17.14
20.647,0.963,17.162
20.672,1.022,17.182
20.697,0.959,17.204
20.722,1.015,17.224
20.747,0.954,17.245
20.772,1.008,17.265
20.797,0.949,17.288
20.822,0.994,17.306
20.847,0.939,17.33
20.872,0.979,17.348
20.897,0.922,17.371
20.922,0.972,17.39
20.947,0.906,17.412
20.972,0.963,17.432
20.997,0.9,17.454
21.022,0.955,17.473
21.047,0.888,17.495
21.072,0.947,17.515
21.097,0.884,17.537
21.122,0.94,17.557
21.147,0.875,17.579
21.172,0.933,17.598
21.197,0.868,17.621
21.222,0.923,17.64
21.247,0.855,17.662
21.272,0.919,17.682
21.297,0.85,17.704
21.322,0.914,17.723
21.347,0.843,17.745
21.372,0.903,17.765
21.397,0.837,17.787
21.422,0.901,17.807
21.447,0.827,17.829
21.472,0.896,17.848
21.497,0.827,17.871
21.522,0.888,17.89
21.547,0.82,17.912
21.572,0.884,17.932
21.597,0.811,17.954
21.622,0.878,17.973
21.647,0.806,17.996
21.672,0.869,18.014
21.697,0.801,18.038
21.722,0.86,18.056
21.747,0.795,18.079
21.772,0.856,18.098
21.797,0.789,18.121
21.822,0.851,18.14
21.847,0.78,18.162
21.872,0.846,18.182
21.897,0.77,18.203
21.922,0.839,18.223
21.947,0.767,18.246
21.972,0.828,18.264
21.997,0.764,18.288
22.022,0.822,18.306
22.047,0.76,18.33
22.072,0.816,18.348
22.097,0.748,18.371
22.122,0.815,18.389
22.147,0.742,18.413
22.172,0.807,18.431
22.197,0.734,18.454
22.222,0.804,18.473
22.247,0.729,18.496
22.272,0.795,18.515
22.276,0.775,18.521
